Language,Matrix Size,Block Size,Min Time,Max Time,Avg Time,Avg Time Standard Deviation,Min GigaFlops,Max GigaFlops,Avg GigaFlops,Avg GigaFlops Standard Deviation,Min L1 DCM,Max L1 DCM,Avg L1 DCM,Avg L1 DCM Standard Deviation,Min L2 DCM,Max L2 DCM,Avg L2 DCM,Avg L2 DCM Standard Deviation,Min TOT INS,Max TOT INS,Avg TOT INS,Avg TOT INS Standard Deviation,Min TOT CYC,Max TOT CYC,Avg TOT CYC,Avg TOT CYC Standard Deviation
C++,4096,128,32.1143,33.1352,32.50278,0.3533497851515773,4.14782326565103,4.279680811102843,4.228976280834721,0.045698315717253066,9696767700,9728973152,9711219168.5,10321065.2931253,31084023560,32849518306,31804613226.9,759823838.1571621,487668246883,487668249191,487668247220.1,702.7551250476067,140965088682,143742615239,142292039635.8,953822497.4298885
C++,4096,256,28.1788,28.6637,28.42181,0.17591974464384483,4.79487831201136,4.877388443510725,4.835852907680832,0.029932250240487415,9071362562,9073384851,9072454220.7,667935.5616967023,22066116688,23086934404,22339857605.1,336170380.89845115,484405658459,484405658585,484405658518.7,44.66679195539403,123831334762,124873026423,124332659528.7,436223123.19221896
C++,4096,512,27.8061,28.6242,28.258370000000003,0.2229901943534234,4.801495010236095,4.942762684159232,4.863928108353042,0.03850241501569452,8754391869,8757469201,8756360237.7,1148892.6826598237,19017340234,19798939336,19164211790.7,236313204.17634517,482784762413,482784762575,482784762495.0,50.25269022124032,122153326144,125055751469,123687842865.5,837572003.1876518
C++,6144,128,109.192,110.784,110.0042,0.642808905421269,4.187034842287694,4.248081067917064,4.216845479865109,0.02462393114676981,32729294177,32848630669,32754072520.5,35545466.14930715,105076360242,110928479721,107123025699.2,2210457720.187751,1645729070493,1645729071086,1645729070727.1,221.1703666596652,479337967275,486921576582,482601300882.0,2860916247.2966785
C++,6144,256,95.3354,97.152,96.11262,0.6446114519615685,4.774543683794467,4.865521810030692,4.826371393811165,0.03228828687940957,30605598231,30637364256,30611710876.8,9574949.364444012,74330183306,77717889081,75244721648.1,1033380055.8395296,1634717844404,1634717853358,1634717846139.1,3200.3047800087843,419002933484,421903967344,420346223581.6,874734224.8865384
C++,6144,512,96.1974,98.6531,97.99559,0.7198166779735553,4.701894496655453,4.821923128566884,4.733674789253812,0.035173495445820775,29590301566,29604375380,29599201744.9,4291197.810389941,64273827406,66858851839,65392770926.7,1115289768.9890184,1629247323431,1629247335807,1629247326062.5,4472.2477269201845,422840354512,433307813870,428769833158.2,2956476114.7456512
C++,8192,128,304.91,474.255,376.0876,77.11964298586105,2.31839754515187,3.606020228185366,3.0340737683982626,0.6005296356201478,77494079346,78292892352,77832927485.7,304744235.3182433,249166971169,259033204855,252851159538.5,3244754683.454281,3900808223596,3900808328939,3900808258956.6,35702.33296799344,1340934800940,2094356350941,1655990358483.6,340775487694.95905
C++,8192,256,406.623,415.315,412.1283,2.712344252569065,2.647416124570507,2.7040074658246094,2.667991280106535,0.01764924598475403,72841164377,73054730994,72942754719.5,52911826.609765306,165917114726,167753237300,166945758121.5,647744514.5237134,3874707586795,3874707634233,3874707604645.3,22818.40323599402,1795878434261,1826517331013,1815635614314.2,8811135179.918442
C++,8192,512,318.446,325.784,322.4094,2.4967459800485963,3.374971231785478,3.4527412113074116,3.410480956575326,0.02647566257410324,70253175459,70304857450,70289328046.0,19732407.510639332,143878529179,148530274383,146017892006.9,1302192018.4693203,3861740404924,3861740432886,3861740409454.8,8591.36777855521,1400123960569,1431577799341,1417907337692.0,10716040299.659956
C++,10240,128,514.923,522.917,519.0649999999999,2.725953207391643,4.106739019767956,4.170494710859683,4.137318137874154,0.021762727287001144,150914405082,152298925958,151281511375.8,546289761.4836485,486503428096,513568920468,497608080275.6,9180138463.51764,7618556059279,7618556064766,7618556060908.6,1571.6128162354842,2258944091208,2293610023988,2274852276608.4,11024846884.506752
C++,10240,256,448.131,455.466,452.6899,2.061671029367529,4.714915378974502,4.7920890275388235,4.743918316331366,0.021698044859767684,141532694180,141915379877,141585911404.0,117720832.43386221,345563453918,360148459293,352914982106.9,4875315288.303319,7567578196884,7567578252996,7567578211083.0,21373.794864570445,1966152891291,1985605499725,1977334257146.5,6166608969.835882
C++,10240,512,436.789,461.498,451.4372,7.702827241416684,4.653289175684402,4.91652410660525,4.7582550387484055,0.08218504706997963,136813808804,136990622034,136936892436.5,58102358.118982926,297154690133,309937085639,302320669412.0,5124964663.095781,7542251716480,7542251768795,7542251725386.5,15362.413490240604,1918466498720,2028315693535,1976948201501.1,32351795955.8643
