Language,Matrix Size,Time,L1 DCM,L2 DCM,TOT INS,TOT CYC
C++,600,0.2069,244601012,40590465,1518153254,854810639
C++,600,0.209048,244794950,39146747,1518153264,865023678
C++,600,0.232401,244791648,39202176,1518153281,925938042
C++,600,0.209805,244774816,38856912,1518153273,867583855
C++,600,0.215954,244816674,39735973,1518153266,869446844
C++,600,0.213358,244739808,39056118,1518153272,873980103
C++,600,0.211567,244768601,39748111,1518153264,864849631
C++,600,0.210296,244783782,39067795,1518153264,867300587
C++,600,0.216873,244731186,41425657,1518153266,882290931
C++,600,0.21269,244783916,38800990,1518153290,866450562
C++,1000,1.23508,1216781223,242970105,7017049055,5122463110
C++,1000,1.35692,1230266622,292326706,7017049055,5669130474
C++,1000,1.19166,1216682534,282925024,7017049056,4966644589
C++,1000,1.27094,1215289537,305425524,7017049050,5301102186
C++,1000,1.20074,1231022860,313069669,7017049041,5004052290
C++,1000,1.41529,1229503519,299044356,7017049069,5938505108
C++,1000,1.16327,1229517958,289380059,7017049023,4881752726
C++,1000,1.15497,1228037747,275943638,7017049031,4847837512
C++,1000,1.30694,1227893774,312847844,7017049042,5438939027
C++,1000,1.28913,1215312810,326724905,7017049077,5396615573
C++,1400,3.5491,3415470380,1290549035,19241387206,15025770738
C++,1400,3.62157,3498062380,1331075397,19241387248,15167681924
C++,1400,3.8801,3522014000,1825636042,19241387293,16259002488
C++,1400,3.62546,3499610175,1436362094,19241387282,15183671954
C++,1400,3.69053,3534753056,1504319070,19241387292,15610684245
C++,1400,3.7955,3523758066,1667842524,19241387642,15954543556
C++,1400,3.65257,3434991618,1603266462,19241387252,15276644099
C++,1400,3.79301,3529949510,1622052499,19241387313,15911731262
C++,1400,3.618,3486181110,1507519818,19241387232,15126453540
C++,1400,3.5271,3434388064,1362393693,19241387242,14753520436
C++,1800,19.42,9083664428,7793503558,40879173089,81971372789
C++,1800,19.476,9086706429,8322844057,40879171558,82379817671
C++,1800,19.5905,9090152179,8524430150,40879172829,82667534278
C++,1800,19.4009,9076400145,8254164247,40879171538,81780171907
C++,1800,19.2832,9094496159,7672126841,40879172555,81514941440
C++,1800,19.4774,9079343227,8916147474,40879173082,82031008690
C++,1800,19.6858,9089320421,8796299435,40879171634,82945873479
C++,1800,19.4407,9076495207,8688954466,40879171558,82000228610
C++,1800,19.4049,9088727212,8382577516,40879171548,81921600389
C++,1800,19.4131,9084397413,8372693327,40879171523,81963865057
C++,2200,41.3905,17651518407,24345310771,74618398367,174673528599
C++,2200,41.0017,17630066056,23166497146,74618401717,173075093720
C++,2200,40.8819,17650309794,22415838610,74618401533,172017706059
C++,2200,41.1164,17639876582,23462824313,74618398334,173447709485
C++,2200,41.5756,17630020588,24609376134,74618398519,175453007622
C++,2200,40.8956,17624818912,23155382909,74618398263,173028694822
C++,2200,40.6433,17628536453,22358250933,74618398183,171349238851
C++,2200,41.0425,17625132364,22920510392,74618398327,172962241854
C++,2200,41.0689,17630460587,23070224636,74618400779,173135654043
C++,2200,40.6935,17652164060,23275793149,74618398211,172698172983
C++,2600,74.0669,30905086228,52605719851,123147069945,313026638720
C++,2600,73.3269,30898465908,51727183868,123147069707,309617414529
C++,2600,74.5203,30873968776,53199262207,123147070117,314962406270
C++,2600,73.911,30900266289,52220904448,123147074426,311934190771
C++,2600,73.4785,30897608560,51323429039,123147069763,309899655390
C++,2600,73.6653,30882428524,51343447783,123147069822,310903145996
C++,2600,74.0964,30874713647,52405810510,123147069967,313259915393
C++,2600,74.6946,30905432455,52902444389,123147070139,315209676224
C++,2600,74.3828,30906020528,52744645181,123147070087,314226206840
C++,2600,74.1643,30905286594,52359214435,123147069945,313525119711
C++,3000,123.3,50291051766,96858911532,189153187491,520222361781
C++,3000,124.826,50292844458,98817210188,189153187882,527193117617
C++,3000,123.693,50299997554,96394340289,189153194994,522790137105
C++,3000,122.89,50292417440,97500101286,189153187279,519360978553
C++,3000,123.953,50292245463,99043618892,189153187667,523616742806
C++,3000,124.216,50301889745,97409589575,189153187758,524991080412
C++,3000,122.585,50314013868,96247268478,189153187274,518053973492
C++,3000,124.858,50302544778,98420332367,189153187911,527213867967
C++,3000,123.952,50291606099,96257591303,189153195754,523756107891
C++,3000,122.717,50291350401,96704365298,189153187386,517246250416
