Language,Matrix Size,Time,L1 DCM,L2 DCM,TOT INS,TOT CYC
C++,4096,46.8407,17669232378,17155439241,550108363853,195172959532
C++,4096,44.0963,17677155346,17546728548,550108360919,186812634988
C++,4096,44.0628,17676186699,17240707148,550108360862,186538488321
C++,4096,44.0773,17677439641,17575440605,550108360904,186800739456
C++,4096,43.6162,17666034918,16935988947,550108360798,185070047090
C++,4096,44.0737,17677053724,17266577489,550108360863,186304150842
C++,4096,43.7092,17674036920,17131294653,550108363816,185376242765
C++,4096,43.6722,17665733491,16935843996,550108360792,185205866178
C++,4096,43.8811,17677790773,17248882084,550108360804,186165743601
C++,4096,43.7282,17674349185,17118975560,550108364366,185353179343
C++,6144,148.244,59644223913,59634156977,1856219021077,629049615323
C++,6144,147.72,59623846016,58130584761,1856219032353,626210797587
C++,6144,147.414,59576419934,57440070696,1856219020998,626481751177
C++,6144,149.233,59630504828,59639257876,1856219021336,632049161406
C++,6144,149.162,59628788566,59632871681,1856219021300,632193788399
C++,6144,148.19,59637155722,58765864549,1856219021165,628974553168
C++,6144,147.386,59614444469,58333642486,1856219020956,625732505056
C++,6144,149.868,59617839870,58159380233,1856219038657,629344902228
C++,6144,147.565,59618709618,58553207281,1856219031030,625693171100
C++,6144,147.433,59624630011,58752028047,1856219032509,625420156150
C++,8192,352.016,141124093081,140660654241,4399456509980,1493437723988
C++,8192,349.567,141175448906,140747866004,4399456497154,1483084385592
C++,8192,354.255,141217337135,145640170870,4399456497928,1504444529892
C++,8192,351.158,141082509466,140597638249,4399456497684,1493149675810
C++,8192,351.987,141110801167,140514557873,4399456497587,1491138871035
C++,8192,353.373,141251913689,145759997802,4399456497826,1497803406115
C++,8192,351.927,141204264420,143201476217,4399456516341,1492826474321
C++,8192,351.407,141158953843,142112700419,4399456500388,1489602266956
C++,8192,352.161,141166797255,142146607194,4399456497596,1494116822292
C++,8192,351.261,141200937817,142441729821,4399456523495,1489692869818
C++,10240,692.484,275586321011,293410123965,8592137659851,2936598198283
C++,10240,688.96,275565867377,291789031973,8592137712675,2923897747915
C++,10240,697.242,275585255140,294521487558,8592137663468,2951154612463
C++,10240,691.996,275519431749,298764750231,8592137676812,2933956963572
C++,10240,692.812,275589042793,300640367354,8592137659849,2938651328809
C++,10240,689.331,275489396808,297528795305,8592137687478,2924256756408
C++,10240,693.53,275533620110,303992335225,8592137659957,2942191821139
C++,10240,691.869,275419164613,297246464892,8592137659709,2934782076125
C++,10240,689.918,275452186716,298631899766,8592137659231,2927371013520
C++,10240,701.536,275518582270,301236308558,8592137681377,2962289696046
