Language,Matrix Size,Block Size,Time,L1 DCM,L2 DCM,TOT INS,TOT CYC
C++,4096,128,32.9674,9716540867,32835459381,487668247097,143742615239
C++,4096,128,32.7411,9696767700,32849518306,487668247023,143709733229
C++,4096,128,32.1143,9727814524,31107734578,487668246925,140965088682
C++,4096,128,33.1352,9728973152,31554310961,487668247287,142333780146
C++,4096,128,32.2336,9703956795,31990102244,487668249191,142112112666
C++,4096,128,32.4633,9705194497,31353459300,487668246952,142221547375
C++,4096,128,32.1469,9709407397,31084023560,487668246883,141196548559
C++,4096,128,32.6178,9706226893,32818733322,487668247014,143047830338
C++,4096,128,32.2436,9708130705,31365897805,487668246915,141865581372
C++,4096,128,32.3646,9709179155,31086892812,487668246914,141725558752
C++,4096,256,28.1788,9072114649,22214625059,484405658462,123860055934
C++,4096,256,28.3114,9072915517,22074668624,484405658525,123831334762
C++,4096,256,28.4729,9071362562,22763428547,484405658571,124837626930
C++,4096,256,28.5115,9072033682,22354300778,484405658522,124055463037
C++,4096,256,28.6637,9073088538,22217179522,484405658585,124157346404
C++,4096,256,28.2056,9072807013,22066116688,484405658459,123912782970
C++,4096,256,28.6345,9073384851,22174144409,484405658552,124779324831
C++,4096,256,28.3737,9071669250,23086934404,484405658483,124778887659
C++,4096,256,28.5806,9072211395,22379890017,484405658542,124873026423
C++,4096,256,28.2854,9072954750,22067288003,484405658486,124240746337
C++,4096,512,28.2814,8756556956,19057874110,482784762508,123542699396
C++,4096,512,28.4197,8757406916,19223013451,482784762527,124282649681
C++,4096,512,28.1704,8757192795,19035279751,482784762461,123695162675
C++,4096,512,28.2188,8754391869,19049240740,482784762488,123304723148
C++,4096,512,28.4492,8757469201,19798939336,482784762563,125055751469
C++,4096,512,28.6242,8756717911,19058625637,482784762575,124771369823
C++,4096,512,28.3303,8755120083,19168461189,482784762496,123443484778
C++,4096,512,28.0943,8757142298,19017340234,482784762454,123478664423
C++,4096,512,28.1893,8756813986,19211147399,482784762465,123150597118
C++,4096,512,27.8061,8754790362,19022196060,482784762413,122153326144
C++,6144,128,109.769,32735591510,105990395913,1645729070618,481146449852
C++,6144,128,109.192,32770263142,105082099085,1645729070493,479337967275
C++,6144,128,109.987,32757822048,106726271730,1645729070680,482798898278
C++,6144,128,110.599,32748443450,110928479721,1645729070856,485664616772
C++,6144,128,109.401,32848630669,106730690181,1645729070511,480056340278
C++,6144,128,110.664,32745345177,106045315308,1645729070829,482560373516
C++,6144,128,109.408,32736513538,105076391925,1645729070522,480263336723
C++,6144,128,110.784,32732286213,109796681450,1645729071064,486921576582
