Language,Matrix Size,Block Size,Time
Java,4096,128,48.105155429
Java,4096,128,50.194643821
Java,4096,128,48.320380484
Java,4096,128,47.917935966
Java,4096,128,49.759663872
Java,4096,128,50.199167096
Java,4096,128,48.794089606
Java,4096,128,47.185372923
Java,4096,128,48.597293363
Java,4096,128,48.833025621
Java,4096,256,46.179132385
Java,4096,256,46.190762687
Java,4096,256,45.738178831
Java,4096,256,46.403811152
Java,4096,256,46.917267317
Java,4096,256,45.934979642
Java,4096,256,45.82326982
Java,4096,256,47.695893568
Java,4096,256,44.212090619
Java,4096,256,45.940245045
Java,4096,512,46.974124883
Java,4096,512,46.743499401
Java,4096,512,43.553281339
Java,4096,512,44.930299891
Java,4096,512,45.39126555
Java,4096,512,43.651071947
Java,4096,512,45.160289765
Java,4096,512,46.747771942
Java,4096,512,43.803789945
Java,4096,512,46.901016889
Java,6144,128,165.216225197
Java,6144,128,171.429201076
Java,6144,128,170.075374134
Java,6144,128,165.549655963
Java,6144,128,160.075827358
Java,6144,128,171.108487545
Java,6144,128,167.295799939
Java,6144,128,170.864574675
Java,6144,128,159.974626542
Java,6144,128,165.244167651
Java,6144,256,160.586015425
Java,6144,256,155.916268332
Java,6144,256,161.173915325
Java,6144,256,156.02606101
Java,6144,256,156.261345417
Java,6144,256,157.195858701
Java,6144,256,160.926301089
Java,6144,256,162.31242055
Java,6144,256,161.712424427
Java,6144,256,155.524221868
